market_rank,title,developer,price_usd,market_id,market_url,stars
1,Angry Birds,Rovio Mobile Ltd.,$0.00,com.rovio.angrybirds,https://market.android.com/details?id=com.rovio.angrybirds,4.5
2,Solitaire,Ken Magic,$0.00,com.kmagic.solitaire,https://market.android.com/details?id=com.kmagic.solitaire,4.3
3,Jewels,MHGames,$0.00,org.mhgames.jewels,https://market.android.com/details?id=org.mhgames.jewels,4.5
4,Angry Birds Seasons,Rovio Mobile Ltd.,$0.00,com.rovio.angrybirdsseasons,https://market.android.com/details?id=com.rovio.angrybirdsseasons,4.5
5,Bubble BusterÂ ,SkitApps,$0.00,com.skitapps.bubblebuster,https://market.android.com/details?id=com.skitapps.bubblebuster,4.2
6,Paper Toss,Backflip Studios Inc.,$0.00,com.bfs.papertoss,https://market.android.com/details?id=com.bfs.papertoss,4.4
7,Live Holdem Poker Pro,Dragonplay,$0.00,com.dragonplay.liveholdempro,https://market.android.com/details?id=com.dragonplay.liveholdempro,4.7
8,Unblock Me FREE,Kiragames,$0.00,com.kiragames.unblockmefree,https://market.android.com/details?id=com.kiragames.unblockmefree,4.4
9,Words With Friends Free,Zynga,$0.00,com.zynga.words,https://market.android.com/details?id=com.zynga.words,3.4
10,Sudoku Free,genina.com,$0.00,com.icenta.sudoku.ui,https://market.android.com/details?id=com.icenta.sudoku.ui,4.2
11,X Construction Lite,CrossConstruct,$0.00,de.hms.xconstruction,https://market.android.com/details?id=de.hms.xconstruction,4.6
12,Glow Hockey,Natenai Ariyatrakool,$0.00,com.natenai.glowhockey,https://market.android.com/details?id=com.natenai.glowhockey,4.2
13,Bubble Blast 2,Magma Mobile,$0.00,com.magmamobile.game.BubbleBlast2,https://market.android.com/details?id=com.magmamobile.game.BubbleBlast2,4.7
14,WordSearch Unlimited Free,JiuzhangTech Ltd,$0.00,com.virtuesoft.wordsearch,https://market.android.com/details?id=com.virtuesoft.wordsearch,4.0
15,Connect 4,Bluesky Studio,$0.00,cn.bluesky.fourinaline,https://market.android.com/details?id=cn.bluesky.fourinaline,3.8
16,Labyrinth Lite,Illusion Labs,$0.00,se.illusionlabs.labyrinth.lite,https://market.android.com/details?id=se.illusionlabs.labyrinth.lite,4.3
17,Tank Hero,Clapfoot Games,$0.00,com.clapfootgames.tankhero,https://market.android.com/details?id=com.clapfootgames.tankhero,4.4
18,Falldown Classic,Team 5 Soft,$0.00,com.teamsoft.falldown,https://market.android.com/details?id=com.teamsoft.falldown,3.4
19,Chess for Android,Aart Bik,$0.00,com.google.android.chess,https://market.android.com/details?id=com.google.android.chess,4.1
20,Mahjong,Magma Mobile,$0.00,com.nix.game.mahjong,https://market.android.com/details?id=com.nix.game.mahjong,3.9
21,Basketball Shot,DroidHen,$0.00,com.droidhen.basketball,https://market.android.com/details?id=com.droidhen.basketball,4.1
22,Pinball,Magma Mobile,$0.00,com.nix.game.pinball.free,https://market.android.com/details?id=com.nix.game.pinball.free,3.7
23,Alchemy,Andrey 'Zed' Zaikin,$0.00,me.zed_0xff.android.alchemy,https://market.android.com/details?id=me.zed_0xff.android.alchemy,4.8
24,Slice It! Â®,Com2uS,$0.00,com.com2us.sliceit,https://market.android.com/details?id=com.com2us.sliceit,4.5
25,Real BlackJack,genina.com,$0.00,com.genina.android.blackjack.view,https://market.android.com/details?id=com.genina.android.blackjack.view,3.9
26,Wheel to Riches Lite,Altriak,$0.00,com.games.WheeltoRiches,https://market.android.com/details?id=com.games.WheeltoRiches,4.2
27,Tic Tac Toe,myYearbook.com,$0.00,posimotion.tictactoe,https://market.android.com/details?id=posimotion.tictactoe,3.8
28,Robo Defense FREE,Lupis Labs Software,$0.00,com.magicwach.rdefense_free,https://market.android.com/details?id=com.magicwach.rdefense_free,4.7
29,Shoot Bubble,Italy Games,$0.00,com.shootbubble.bubble,https://market.android.com/details?id=com.shootbubble.bubble,4.1
30,aTilt 3D Labyrinth Free,FridgeCat Software,$0.00,com.fridgecat.android.atiltlite,https://market.android.com/details?id=com.fridgecat.android.atiltlite,4.4
31,Toss It,myYearbook.com,$0.00,com.boolbalabs.tossit.preview,https://market.android.com/details?id=com.boolbalabs.tossit.preview,4.4
32,Slot Machine,Apostek Software,$0.00,com.apostek.SlotMachine,https://market.android.com/details?id=com.apostek.SlotMachine,4.1
33,Finger Bowling,Bluesky Studio,$0.00,cn.bluesky.fingerbowling,https://market.android.com/details?id=cn.bluesky.fingerbowling,3.0
34,Memory,Jasper de Keijzer,$0.00,memory.com,https://market.android.com/details?id=memory.com,3.9
35,Find Differences,Pinecone Software,$0.00,com.pineconesoft.comparator,https://market.android.com/details?id=com.pineconesoft.comparator,4.1
36,Checkers Free,Optime Software,$0.00,com.optimesoftware.checkers.free,https://market.android.com/details?id=com.optimesoftware.checkers.free,4.1
37,Pool Master Pro,Terran Droid,$0.00,com.forthblue.pool,https://market.android.com/details?id=com.forthblue.pool,3.7
38,Ant Smasher Free Game Best Fun,"Best, Cool & Fun Games",$0.00,com.bestcoolfungames.antsmasher,https://market.android.com/details?id=com.bestcoolfungames.antsmasher,3.9
39,Traffic Jam Free,JiuzhangTech Ltd,$0.00,com.jiuzhangtech.rushhour,https://market.android.com/details?id=com.jiuzhangtech.rushhour,4.3
40,Go Tetris,Yinfei XU,$0.00,com.devinxutal.tetris,https://market.android.com/details?id=com.devinxutal.tetris,3.8
41,NinJump,Backflip Studios Inc.,$0.00,com.bfs.ninjump,https://market.android.com/details?id=com.bfs.ninjump,4.4
42,Bubble Burst Free,Androgames,$0.00,com.androgames.BubbleBurst,https://market.android.com/details?id=com.androgames.BubbleBurst,3.9
43,Air Control Lite,Four Pixels,$0.00,dk.logisoft.aircontrol,https://market.android.com/details?id=dk.logisoft.aircontrol,4.5
44,Live BlackJack,Dragonplay,$0.00,com.dragonplay.blackjack,https://market.android.com/details?id=com.dragonplay.blackjack,4.4
45,Pinball Deluxe,GreenCod,$0.00,com.greencod.pinball.android,https://market.android.com/details?id=com.greencod.pinball.android,4.4
