market_rank,title,developer,price_usd,market_id,market_url,stars,updated,app_version,android_version,category,installs,size
1,Live Holdem Poker Pro,Dragonplay,$0.00,com.dragonplay.liveholdempro,https://market.android.com/details?id=com.dragonplay.liveholdempro,4.7,"March 16, 2011",2.09,1.5 and up,Cards & Casino,"1,000,000 - 5,000,000",4.7M
2,Bubble Blast 2,Magma Mobile,$0.00,com.magmamobile.game.BubbleBlast2,https://market.android.com/details?id=com.magmamobile.game.BubbleBlast2,4.7,"March 19, 2011",1.0.17,1.5 and up,Brain & Puzzle,"1,000,000 - 5,000,000",4.4M
3,Angry Birds,Rovio Mobile Ltd.,$0.00,com.rovio.angrybirds,https://market.android.com/details?id=com.rovio.angrybirds,4.5,"March 16, 2011",1.5.3,1.6 and up,Arcade & Action,"10,000,000 - 50,000,000",17M
4,Bubble Blast !,Magma Mobile,$0.00,com.magmamobile.game.BubbleBlast,https://market.android.com/details?id=com.magmamobile.game.BubbleBlast,4.7,"February 23, 2011",1.0.16,1.5 and up,Casual,"500,000 - 1,000,000",1.4M
5,Alchemy,Andrey 'Zed' Zaikin,$0.00,me.zed_0xff.android.alchemy,https://market.android.com/details?id=me.zed_0xff.android.alchemy,4.8,"December 22, 2010",1.10.1,1.5 and up,Brain & Puzzle,"1,000,000 - 5,000,000",2.8M
6,Jewels,MHGames,$0.00,org.mhgames.jewels,https://market.android.com/details?id=org.mhgames.jewels,4.5,"November 29, 2010",1.91,1.5 and up,Casual,"10,000,000 - 50,000,000",1.9M
7,Angry Birds Seasons,Rovio Mobile Ltd.,$0.00,com.rovio.angrybirdsseasons,https://market.android.com/details?id=com.rovio.angrybirdsseasons,4.5,"March 11, 2011",1.3.0,1.6 and up,Arcade & Action,"10,000,000 - 50,000,000",16M
8,Words With Friends Free,Zynga,$0.00,com.zynga.words,https://market.android.com/details?id=com.zynga.words,3.2,"March 17, 2011",3.28,1.6 and up,Brain & Puzzle,"1,000,000 - 5,000,000",3.5M
9,Smiley Pops,"Boolba Labs, LLC",$0.00,com.boolbalabs.smileypops,https://market.android.com/details?id=com.boolbalabs.smileypops,4.3,"March 27, 2011",1.45,1.5 and up,Casual,"500,000 - 1,000,000",3.5M
10,Solitaire,Ken Magic,$0.00,com.kmagic.solitaire,https://market.android.com/details?id=com.kmagic.solitaire,4.3,"December 22, 2010",1.12.2,1.0 and up,Cards & Casino,"10,000,000 - 50,000,000",83k
