market_rank,title,developer,price_usd,market_id,market_url,stars
1,Vendetta Online,"Guild Software, Inc.",$0.99,com.guildsoftware.vendetta,https://market.android.com/details?id=com.guildsoftware.vendetta,3.8
2,Robo Defense,Lupis Labs Software,$2.99,com.magicwach.rdefense,https://market.android.com/details?id=com.magicwach.rdefense,4.8
3,Guerrilla Bob,Angry Mob Games,$2.99,com.angrymobgames.guerrillabob,https://market.android.com/details?id=com.angrymobgames.guerrillabob,4.5
4,Fruit Ninja,Halfbrick Studios,$1.17,com.halfbrick.fruitninja,https://market.android.com/details?id=com.halfbrick.fruitninja,4.5
5,Samurai II: Vengeance THD,"MADFINGER Games, a.s.",$4.89,com.madfingergames.SamuraiII,https://market.android.com/details?id=com.madfingergames.SamuraiII,4.4
6,Doodle Jump,GameHouse,$0.99,com.realarcade.DOJ,https://market.android.com/details?id=com.realarcade.DOJ,4.3
7,X Construction,CrossConstruct,$1.40,de.hms.xconstructionfull,https://market.android.com/details?id=de.hms.xconstructionfull,4.7
8,Fruit Ninja THD,Halfbrick Studios,$2.94,com.halfbrick.fruitninjathd,https://market.android.com/details?id=com.halfbrick.fruitninjathd,4.1
9,Jewellust,Smartpix Games,$2.95,alterforce.engine,https://market.android.com/details?id=alterforce.engine,4.7
10,AirAttack HD,Art In Games,$2.89,com.ArtInGames.AirAttackHD,https://market.android.com/details?id=com.ArtInGames.AirAttackHD,4.9
11,Gem Miner: Dig Deeper,Psym Mobile,$2.18,au.com.phil.mine,https://market.android.com/details?id=au.com.phil.mine,4.7
12,Fishin' 2 Go (FULL),CyxB,$2.25,com.cyxb.fishin2go,https://market.android.com/details?id=com.cyxb.fishin2go,4.6
13,SNesoid (SNES Emulator),yongzh,$3.99,com.androidemu.snes,https://market.android.com/details?id=com.androidemu.snes,4.6
14,The Moron Test,"DistinctDev, Inc.",$0.99,com.distinctdev.tmt,https://market.android.com/details?id=com.distinctdev.tmt,4.5
15,GameBoid (GBA Emulator),yongzh,$4.99,com.androidemu.gba,https://market.android.com/details?id=com.androidemu.gba,4.6
16,Spaghetti Marshmallows,Fruxotic Games,$2.34,com.fiffigt.spaghetti.full,https://market.android.com/details?id=com.fiffigt.spaghetti.full,4.7
17,Game Dev Story,"Kairosoft Co.,Ltd",$5.05,net.kairosoft.android.gamedev3en,https://market.android.com/details?id=net.kairosoft.android.gamedev3en,4.7
18,Airport Mania: First Flight,Amazon Digital Services,$0.99,com.reflexive.airportmania,https://market.android.com/details?id=com.reflexive.airportmania,4.5
19,Nesoid (NES emulator),yongzh,$3.98,com.androidemu.nes,https://market.android.com/details?id=com.androidemu.nes,4.7
20,Abduction! World Attack,Psym Mobile,$2.18,au.com.phil.abduction,https://market.android.com/details?id=au.com.phil.abduction,4.8
21,Blow Up,Camel Games,$2.99,com.camelgames.blowup,https://market.android.com/details?id=com.camelgames.blowup,4.5
22,Can Knockdown 2,Infinite Dreams,$0.95,pl.idreams.CanKnockdown2,https://market.android.com/details?id=pl.idreams.CanKnockdown2,4.5
23,GBCoid (GBC emulator),yongzh,$2.99,com.androidemu.gbc,https://market.android.com/details?id=com.androidemu.gbc,4.7
24,MiniSquadron!,Gray Fin Studios,$2.99,grayfinstudios.android.minisquadron,https://market.android.com/details?id=grayfinstudios.android.minisquadron,4.6
25,ZENONIAÂ® 2,GAMEVIL Inc.,$4.99,com.gamevil.zenonia2,https://market.android.com/details?id=com.gamevil.zenonia2,4.6
26,Atomic Bomber Full,Luke Allen,$1.59,org.lukeallen.bomberfull,https://market.android.com/details?id=org.lukeallen.bomberfull,4.6
27,NEED FOR SPEEDâ¢ Shift,Electronic Arts Inc.,$4.99,com.eamobile.nfsshift_na_wf,https://market.android.com/details?id=com.eamobile.nfsshift_na_wf,3.7
28,HexDefense,Gotow.net,$1.49,com.gotow.hexdefense,https://market.android.com/details?id=com.gotow.hexdefense,4.5
29,BejeweledÂ® 2,Electronic Arts Inc.,$0.99,com.eamobile.bejeweled2_na_wf,https://market.android.com/details?id=com.eamobile.bejeweled2_na_wf,3.1
30,Pro Evolution Soccer 2011,Konami Digital Entertainment,$2.99,us.konami.pes2011,https://market.android.com/details?id=us.konami.pes2011,4.2
31,HOMERUN BATTLE 3D Â®,Com2uS,$4.99,com.com2us.HB3D,https://market.android.com/details?id=com.com2us.HB3D,4.4
32,Enjoy Sudoku,Jason Linhart,$2.99,com.enjoysudoku.enjoysudoku,https://market.android.com/details?id=com.enjoysudoku.enjoysudoku,4.8
33,Wordfeud,hbwares,$3.01,com.hbwares.wordfeud.full,https://market.android.com/details?id=com.hbwares.wordfeud.full,4.6
34,Armored Strike Online,"Requiem Software Labs, Inc",$3.99,com.requiem.armoredStrike,https://market.android.com/details?id=com.requiem.armoredStrike,4.7
35,ZENONIAÂ®,GAMEVIL Inc.,$4.99,com.gamevil.zenonia,https://market.android.com/details?id=com.gamevil.zenonia,4.5
36,WSOP HOLD'EM LEGEND,Glu Mobile,$4.99,com.glu.android.wsop3,https://market.android.com/details?id=com.glu.android.wsop3,4.1
37,Gensoid (SEGA Genesis Emu),yongzh,$3.49,com.androidemu.gens,https://market.android.com/details?id=com.androidemu.gens,4.7
38,Tower Raiders GOLD,Gianormous Games,$3.99,com.gianormousgames.towerraidersgold,https://market.android.com/details?id=com.gianormousgames.towerraidersgold,4.8
39,Space Physics,Camel Games,$1.99,com.doodle.main,https://market.android.com/details?id=com.doodle.main,4.6
40,Hungry Shark [USA],Future Games of San Francisco,$2.95,com.fgol.sharkusa,https://market.android.com/details?id=com.fgol.sharkusa,4.5
41,Sally's Salon Luxury Edition,GameHouse,$1.99,com.realarcade.SSH,https://market.android.com/details?id=com.realarcade.SSH,4.1
42,UNOâ¢,Gameloft,$2.99,com.gameloft.android.GloftUNOG,https://market.android.com/details?id=com.gameloft.android.GloftUNOG,4.1
43,Diner Dash 2,Glu Mobile,$4.99,com.glu.android.diner2,https://market.android.com/details?id=com.glu.android.diner2,4.1
44,Alchemy Premium,Andrey 'Zed' Zaikin,$4.95,me.zed_0xff.android.alchemy.premium,https://market.android.com/details?id=me.zed_0xff.android.alchemy.premium,4.7
45,Abduction! 2,Psym Mobile,$2.18,au.com.phil.abduction2,https://market.android.com/details?id=au.com.phil.abduction2,4.6
46,Shoot U!,Camel Games,$1.99,com.camelgames.shootu,https://market.android.com/details?id=com.camelgames.shootu,4.5
47,Flick Kick Football,Pik Pok,$0.93,com.pikpok.fks,https://market.android.com/details?id=com.pikpok.fks,4.1
48,"Rom Finder - PSX, N64, NDS ++",D. Joey,$2.79,com.devjoey.romfinderprem,https://market.android.com/details?id=com.devjoey.romfinderprem,4.3
49,Baseball SuperstarsÂ®,GAMEVIL Inc.,$4.99,com.gamevil.bs09,https://market.android.com/details?id=com.gamevil.bs09,4.6
50,Flick Kick Field Goal,Pik Pok,$0.93,com.pikpok.kikfg,https://market.android.com/details?id=com.pikpok.kikfg,4.3
